,ISBN,Category
0,1588345297,Biographies & Memoirs
1,1404803335,Children's Books
2,1446276082,Engineering & Transportation
3,1491522666,Christian Books & Bibles
4,970096410,Sports & Outdoors
5,8436808053,"Health, Fitness & Dieting"
6,1848291388,Medical Books
7,73402656,Science & Math
8,323045979,Medical Books
9,1847176968,Travel
10,1760342769,Travel
11,137029039,Business & Money
12,806965339,"Cookbooks, Food & Wine"
13,1405167971,Politics & Social Sciences
14,1565238567,"Crafts, Hobbies & Home"
15,471310115,Children's Books
16,231162413,Religion & Spirituality
17,1781681368,Business & Money
18,758266065,Literature & Fiction
19,163241032X,"Health, Fitness & Dieting"
20,198506449,Science & Math
21,151511435X,Humor & Entertainment
22,374228949,Travel
23,393925609,Literature & Fiction
24,083421010X,Medical Books
25,1502530538,Law
26,1447157788,Computers & Technology
27,415643635,Business & Money
28,262150506,Science & Math
29,1430032308,Christian Books & Bibles
30,1118054172,Science & Math
31,147924158X,Computers & Technology
32,1849517789,Computers & Technology
33,898706009,Children's Books
34,1626360561,Travel
35,415829224,Business & Money
36,28603192,Test Preparation
37,199756554,Religion & Spirituality
38,816689237,Science & Math
39,1845879619,Travel
40,859531414,Children's Books
41,944205577,Business & Money
42,520271181,Biographies & Memoirs
43,865714711,Arts & Photography
44,71775560,Science & Math
45,1628090308,Parenting & Relationships
46,30683734,Children's Books
47,375858938,Children's Books
48,781780586,Medical Books
49,1454709138,Humor & Entertainment
50,295969288,Travel
51,960369260,"Cookbooks, Food & Wine"
52,143845404X,Christian Books & Bibles
53,1137506415,Computers & Technology
54,314267999,Law
55,521899435,Science & Math
56,1891127667,Science & Math
57,1517638186,Humor & Entertainment
58,618004378,"Crafts, Hobbies & Home"
59,1594744327,Humor & Entertainment
60,764349333,Christian Books & Bibles
61,528993712,Travel
62,873498224,"Crafts, Hobbies & Home"
63,1891143972,Science & Math
64,1633430081,Computers & Technology
65,323100457,Medical Books
66,300209428,Religion & Spirituality
67,1457532506,Literature & Fiction
68,1618510177,Religion & Spirituality
